"asin","product_title","average_rating","review_author","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B08L5VG6H9","Neues Apple iPhone 12 Pro Max (128 GB) - Gold","4,8 von 5","D. H.","Größe: 128 GB | Farbe: Gold","B08L5VG6H9","https://www.amazon.de/Neues-Apple-iPhone-Pro-128-GB/product-reviews/B08L5VG6H9/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5,0 von 5 Sternen","Rezension aus Deutschland vom 2. April 2021","Rezension aus Deutschland vom 2. April 2021","Wer Apple kennt weis was er hat und das neue Modelle meistens auch schneller und allgemein Leistungsfähiger sind ist wohl bekannt. Ich habe es und weis was man alles damit machen kann.","","Wir bzw. Meine Familie haben nur Apple","","https://www.amazon.de/gp/profile/amzn1.account.AEFMQTZUDXQFB5V7BJ2KO4XAS53Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B08L5VG6H9/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=6&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.de/gp/customer-reviews/R7G6EBM43JK79/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5VG6H9","https://www.amazon.de/dp/B08L5VG6H9/"
"B08L5WMP9D","Neues Apple iPhone 12 Mini (256 GB) - Schwarz","4,8 von 5","Timex","Größe: 128 GB | Farbe: Weiß","B08L5VNTFG","https://www.amazon.de/Neues-Apple-iPhone-Mini-256-GB/product-reviews/B08L5VNTFG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3,0 von 5 Sternen","Rezension aus Deutschland vom 14. Dezember 2020","Rezension aus Deutschland vom 14. Dezember 2020","Das Gerät ging leider direkt wieder zurück. Trotzdem möchte ich meine kurzen Eindrücke und die Hauptprobleme schildern: ### Pro ### + sehr handlich und leicht + wirkt sehr schick und hochwertig - Hauptproblem: Der Akkuverbrauch ist trotz Stromsparmodus, deaktiviertem 5G Modul, deaktiviertem iCloud Sync etc. vor allem in der Zeit von 0-6Uhr extrem hoch (bis zu 30% trotz Standby) - Display ist sehr empfindlich was Schmutz/Fingerabdrücke angeht. Hier muss unbedingt eine Displayfolie installiert werden!","","Eigentlich ein sehr schickes iPhone, wenn da nicht der Akku wäre...","12","https://www.amazon.de/gp/profile/amzn1.account.AF4ATTMHYAUFAVYBXKFWVBW3CFTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B08L5WMP9D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.de/gp/customer-reviews/RPSJ222RAJT3E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5WMP9D","https://www.amazon.de/dp/B08L5WMP9D/"
"B08L5WMP9D","Neues Apple iPhone 12 Mini (256 GB) - Schwarz","4,8 von 5","Bastian B.","Größe: 64 GB | Farbe: Blau","B08L5RK6FN","https://www.amazon.de/Neues-Apple-iPhone-Mini-256-GB/product-reviews/B08L5RK6FN/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5,0 von 5 Sternen","Rezension aus Deutschland vom 14. November 2020","Rezension aus Deutschland vom 14. November 2020","Das Handy ist fantastisch! Es liegt durch die kompakte Größe super in der Hand und lässt sich perfekt einhändig bedienen. Die Blaue Farbe ist super gelungen. Kann das gleiche wie der große Bruder aber in kleinerem Formfaktor.","","Klein, leicht aber leistungsstark!","13","https://www.amazon.de/gp/profile/amzn1.account.AEAXTSDQLTXFLAKTINY7JFFNMQJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B08L5WMP9D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.de/gp/customer-reviews/R349LW11B7YO2Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5WMP9D","https://www.amazon.de/dp/B08L5WMP9D/"
"B08L5WMP9D","Neues Apple iPhone 12 Mini (256 GB) - Schwarz","4,8 von 5","damirimad","Größe: 256 GB | Farbe: Grün","B08L5T3SWK","https://www.amazon.de/Neues-Apple-iPhone-Mini-256-GB/product-reviews/B08L5T3SWK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4,0 von 5 Sternen","Rezension aus Deutschland vom 5. März 2021","Rezension aus Deutschland vom 5. März 2021","Ich verstehe ja nicht warum Apple seit einigen Jahren verschiedene Größen von iPhones herausbringt anstatt sich wie zu Steve Jobs Zeiten jedes Jahr auf DAS ultimative iPhone zu konzentrieren. Jedenfalls ist mir das Mini handlicher als das iPhone 12 Pro. Das Gerät ist voll cute - fast etwas zu cute. Man muss schon aufpassen, dass es nicht aus den Fingern gleitet wenn man mit einer Hand Nachrichten beantwortet. Die Leistung ist super. Ich habe sogar bemerkt, dass das iPhone Mini einen etwas schärferen Bildschirm hat als das Pro. - JA!!! Ich bin drei mal zum Mediamarkt gerannt um mir sicher zu sein und habe auch andere Leute gefragt ob ich verrückt bin - aber nein - tatsächlich schärfer!!! Die Lautsprecher sind jedoch weniger voluminös als beim Pro. Trotzdem guter Sound für dieses kleine Gerät. Die beiden Linsen werden mich schon zufriedenstellen denke ich, da Apple noch an dem Drei-Linsensystem feilen muss.","","Cute!!!","Eine","https://www.amazon.de/gp/profile/amzn1.account.AE4LD75FGJQ74NLXAVWVQRH4NUCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B08L5WMP9D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=5&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.de/gp/customer-reviews/RE2IL1DLOD4GP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5WMP9D","https://www.amazon.de/dp/B08L5WMP9D/"
"B081FW6TPQ","Neues Apple MacBook Pro (16"", 16GB RAM, 512GB Speicherplatz) - Space Grau","4,7 von 5","Phan Thanh","Stil: Intel Core i7 | Digital-Storage-Kapazität: 512 GB | Farbe: Space Grau","B081FW6TPQ","https://www.amazon.de/Neues-Apple-MacBook-Speicherplatz-Core-i7/product-reviews/B081FW6TPQ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3,0 von 5 Sternen","Rezension aus Deutschland vom 10. Juni 2020","Rezension aus Deutschland vom 10. Juni 2020","Da MacBook Pro 16 2019 ist ein edel-sehr schönes Laptop. Das Display ist gut. Aber ich habe auch oft probleme mir PS. Mein PS ist zu oft gefroren. Manschmal wird auch das Betriebsystem gefrorst. Diese Problem habe ich noch nie bei Window mit T470s. Obwohl hat MP ein extra Grafikkarte gebaut. Weitere merke ich Kriechströme oft auf der Metallfläche, somit steht das Gehäuse steht permanent unter Spannung. Ich habe ein fast neu bei Amazon mit dem Preis 2250€ gekauft. Es war echt güntig, aber muss ich leider zurück an Amazon geschickt. ICh weiss nicht ob diese Modell solsche Probleme hat, oder nur bei meinem Fall.","","Schönes Laptop, für den Preis sollte aber noch besser","Eine","https://www.amazon.de/gp/profile/amzn1.account.AGPZ77M2RZRC4ZBWT4XLELCHONMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B081FW6TPQ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=4&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.de/gp/customer-reviews/R36S7H7LYP97DX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B081FW6TPQ","https://www.amazon.de/dp/B081FW6TPQ/"
"B084DWG2VQ","Der neue Echo Dot (4. Generation) | Smarter Lautsprecher mit Alexa | Anthrazit","4,6 von 5","Volker","Farbe: Anthrazit | Konfiguration: Echo Dot","B084DWG2VQ","https://www.amazon.de/der-neue-echo-dot-4-generation-smarter-lautsprecher-mit-alexa-anthrazit/product-reviews/B084DWG2VQ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3,0 von 5 Sternen","Rezension aus Deutschland vom 4. Februar 2021","Rezension aus Deutschland vom 4. Februar 2021","Die Alexa Integration läßt zu Wünschen übrig. So wird zum Beispiel meistens für die Gruppe ""überall"" nur ein Teil der Dots mit Ton versorgt, das ist ärgerlich. Oder ich stelle in der Küche eine Frage und bekomme aus dem Flur oder dem Badezimmer oder dem Schlafzimmer eine Antwort und die ist dann aufgrund der Entfernung zu leise. Oder man hat zwei der Dots rechts und links für den Stereoempfang aufgestellt, und wenn man eine Frage stellt, dann antwortet mal der eine und bei der nächsten Frage der andere, das sollte besser gelöst sein. Wenn ich meine Lichtroutinen mit den Dots und Alexa steuere kommen manchmal echt irre Reaktionen zustande, es wird ein Lied abgespielt oder Alexa erklärt irgendwas, wonach ich wirklich nicht gefragt habe, wie man zum Beispiel bei dem Wort ""zyanblau"" auf ""Tür"" kommen kann oder ein Lied der Ärzte abspielt, das werde ich wohl nie verstehen. Manchmal scheint Alexa zu dösen, dann muss man sie noch ein zweites oder drittes mal energischer ansprechen, etwas lauter, dann wacht sie auf und antwortet oder führt eine angeforderte Aktion aus. Der Klang gefällt mir gut, ich mag Klaviermusik und die klingt für meinen Geschmack recht gut. Wahrscheinlich werden die absoluten Boxenfreaks das ganz anders sehen, für meinen Geschmack ist es dennoch sehr angenehm, ich höre die Musik gerne. Und natürlich ist es schön, daß man auch mit Amazon Prime schon recht viele schöne Titel ohne weitere Kosten sich anhören kann. Die Sprachsteuerung einiger Lampen über die Dots und alexataugliche Steckdosen oder mit alexatauglichen Farblichtbirnen, die dann ja auch über den Dot angesteuert werden können, das gefällt mir sehr gut und es ist schon recht praktisch, wenn man nur mit den Worten: ""Alexa, gute Nacht"" sämtliche ferngesteuerte Lampen ausschalten kann oder wenn man sich eine Routine erstellen kann, mit der man die Uhrzeit, den Wetterbericht und die Nachrichten hören kann und gleichzeitig auch das Licht angeht oder man das Licht sogar schon eine gewisse Zeit vorher angehen läßt, damit man über den Lichtreiz sanft geweckt wird. Was mich aber wirklich ärgert ist, daß die Gruppe Überall nicht funktioniert, einen Tag oder so hat es geklappt, danach ging es nicht mehr, ich erwarte es eigentlich, daß so ein System einmal eingerichtet wird und es hernach dauerhaft fehlerfrei funktioniert oder aber eine Fehlermeldung abgibt, aus der heraus man entnehmen kann, warum es nicht mehr funktioniert. Jetzt habe ich mir die Gruppe Überall auf dem Huawei Tablett angeschaut, dem Dot in der Küche das gleiche Netzwerk wie den anderen zugewiesen. Auf Sprachaufforderung ging das mit der Gruppe überall immer noch nicht, aber über das Tablett konnte ich sie dann starten und jetzt spielen gerade alle Dots in allen Räumen ""Deuter"", was mich sehr freut. Nachtrag 5.2.2021: Anscheinend bestimmt die Einstellung in der Alexa App auf meinem Huawei M3 Tablett, ob nun die Musik nur auf einem Dot oder in einer Gruppe abgespielt wird. Das ist noch ein wenig verwirrend für mich, weil ich von meiner eigenen Logik her der Sprachsteuerung eine höhere Priorität gegeben hätte, hier aber wohl die Softwarebene wichtiger eingestuft wird. Vermutlich wäre es besser, ich würde mal auf Youtube nach irgendwelchen Erklärvideos zu Alexa und all den Geräten suchen und mir anschauen, was natürlich auch etwas komisch ist, weil man sich sowas ja eigentlich vom Anbieter erhoffen würde, vielleicht gibt es das ja und mir wurde diesbezüglich nur noch keine Infomail zugeschickt oder ich habe sie gelöscht.","","könnte besser funktionieren","2","https://www.amazon.de/gp/profile/amzn1.account.AG3DW5PYOYZTU3F6EKZRLSH537ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B084DWG2VQ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=5&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.de/gp/customer-reviews/RERQL5EOG9VMP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084DWG2VQ","https://www.amazon.de/dp/B084DWG2VQ/"
"B08N5SF4RG","Apple MacBook Pro mit Apple M1 Chip (13"", 8 GB RAM, 256 GB SSD) - Space Grau (November 2020)","4,8 von 5","Tobias Schmidt","Farbe: Space Grau | Fassungsvermögen: 256 GB","B08N5SF4RG","https://www.amazon.de/Apple-MacBook-Pro-mit-Chip/product-reviews/B08N5SF4RG/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5,0 von 5 Sternen","Rezension aus Deutschland vom 14. Januar 2021","Rezension aus Deutschland vom 14. Januar 2021","Wer sich dazu entscheidet ein Macbook mit M1 Prozessor zu kaufen, hat wahrscheinlich schon ziemlich jedes Video dazu auf YouTube gesehen. Daher werde ich nicht darauf eingehen, was jetzt so alles neu ist, sondern was sich im Gegensatz zu meinem Intel MBP 13"" von 2017 anders und besser in der Praxis anfühlt. 1. Der Akkuverbrauch ist ein Unterschied wie Tag und Nacht! Einfach nur erstaunlich wie wenig er im Vergleich verbraucht. 2. Das neue Keyboard ist einfach besser als die Butterfly Tastatur! 3. 90% aller Nutzer werden wahrscheinlich noch nichtmal so viel Leistung vordern das der Lüfter überhaupt jemals an geht. 4. Alles ist einfach direkt offen und da sobald man einen Befehl ausführt. 5. Rosetta 2 macht einen tollen Job als Emulator und hat mir noch keine Probleme gemacht. 6. Manche iPhones und iPad apps auf dem Mac zu haben kann sehr hilfreich sein. 7. Die höhere Performance macht sich in aufwendigen Programmen selbst in der Emulation bemerkbar und nativ noch viel mehr. Wer das alles nicht braucht, der kann sein Intel Macbook auch behalten. Wer allerdings darauf nicht verzichten kann, wir mit dem M1 MBP etwas revolutionäres bekommen. Jeder der sich erst jetzt sein erstes Macbook kaufen möchte, sollte definitiv auf den M1 zurückgreifen.","","Einfach nur MINDBLOWING!","Eine","https://www.amazon.de/gp/profile/amzn1.account.AHEFTXUY7ZDFBSKUOGMA2NL6J6IQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B08N5SF4RG/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=3&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.de/gp/customer-reviews/R2WLCM5APNK2DW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08N5SF4RG","https://www.amazon.de/dp/B08N5SF4RG/"
"B084DWG2VQ","Der neue Echo Dot (4. Generation) | Smarter Lautsprecher mit Alexa | Anthrazit","4,6 von 5","Michael","Farbe: Weiß | Konfiguration: Echo Dot","B084J4MZK6","https://www.amazon.de/der-neue-echo-dot-4-generation-smarter-lautsprecher-mit-alexa-anthrazit/product-reviews/B084J4MZK6/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1,0 von 5 Sternen","Rezension aus Deutschland vom 19. November 2020","Rezension aus Deutschland vom 19. November 2020","Ich bin im vergangenen Jahr mit der dritten Generation der echogeräte in die Welt der Sprachassistenten eingestiegen, und war nicht wirklich zufrieden mit der spracherkennung, und auch nicht damit das Befehle häufig nicht oder fehlerhaft umgesetzt wurden. Nun dachte ich das mit der vierten Generation dort Verbesserungen eingekehrt sind. Aber leider Fehlanzeige. Folgende Punkte sind mir hier aufgefallen: 1. Der Echo Dot geht nach wenigen Minuten in einer Art Standby, sodass man hier bei neuer Ansprache das Gerät zweimal mit dem Aktivierungswort ansprechen muss bis es reagiert. 2. Die Lautstärke lässt sich nach wie vor nicht separat regulieren. Das bedeutet wenn ich ein Lied beispielsweise etwas lauter gehört habe und zwischendurch, oder aber auch danach eine Anfrage an das Gerät habe dann soll diese Anfrage nicht mit der gleichen hohen Lautstärke ausgegeben werden wie zuvor das Lied. Warum kann man nicht unterschiedliche lautstärken festlegen? 3. In der Einstellung der App gibt es die Möglichkeit eine Bestätigungs Ton bei Beginn und Beendigung einer Anfrage zu aktivieren bzw zu deaktivieren. Auch dies funktioniert hinsichtlich des aktivieren nicht. Es wird immer ein Gong ausgegeben, den ich aber nicht hören will. Ich will einfach nur dass der Befehl umgesetzt wird. Diesmal habe ich mich noch verleiten lassen bei der neuen Generation zuzugreifen, aber bei der fünften Generation (die ganz sicher kommen wird) bin ich nicht mehr dabei, und werde lieber noch etwas länger abwarten bis endlich mal die Kernfunktionen eines Sprachassistenten richtig funktionieren.","","Miserable Spracherkennung, und häufig fehlerhafte Umsetzung.","19","https://www.amazon.de/gp/profile/amzn1.account.AHRYDKLSELGB6NVHOW45VBGGO66Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B084DWG2VQ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.de/gp/customer-reviews/RCYX2PCSUQ05O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084DWG2VQ","https://www.amazon.de/dp/B084DWG2VQ/"
"B08L5WMP9D","Neues Apple iPhone 12 Mini (256 GB) - Schwarz","4,8 von 5","Dr. Akula","Größe: 64 GB | Farbe: Blau","B08L5RK6FN","https://www.amazon.de/Neues-Apple-iPhone-Mini-256-GB/product-reviews/B08L5RK6FN/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5,0 von 5 Sternen","Rezension aus Deutschland vom 17. März 2021","Rezension aus Deutschland vom 17. März 2021","Ich nutze iPhones seit dem iPhone 4s und habe nahezu alle getestet. (Außer die SE-Modelle). Mich haben immer wieder einige Punkte gestört: - Zu klein - Zu groß - zu glatt, so dass man es nicht ohne Hülle nutzen kann - zu anfällig für Kratzer All das ist beim neuen iPhone 12 Mini Geschichte. Es hat ein wunderbares Design (ähnlich dem iPhone 4s, welches ich am Schönsten fand), hat eine tolle Farbe (strahlendes Blau), liegt super in der Hand, ist klasse verarbeitet. Ich kann es endlich mit nur einer Hand nutzen und trotzdem kann man sich entspannt einen Film darauf angucken. Die Performance ist super. Alles ist blitzschnell. Die Foto-Qualität hält bei einfacheren Aufnahmen mit meiner DSLR mit. Für mich bisher wirklich das allerbeste iPhone, was endlich alle meine Mankos der Vergangenheit beseitigt hat. Ich habe zum ersten Mal in 8 Jahren nichts zu meckern :) Weiter so!","","Für mich endlich die eierlegende Wollmilchsau unter den iPhones","3","https://www.amazon.de/gp/profile/amzn1.account.AHM4KW3NBBDQTKQGHA52VLM64COQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B08L5WMP9D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=3&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Apple","https://www.amazon.de/gp/customer-reviews/R90B9CBGVU3UK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5WMP9D","https://www.amazon.de/dp/B08L5WMP9D/"
"B084DWG2VQ","Der neue Echo Dot (4. Generation) | Smarter Lautsprecher mit Alexa | Anthrazit","4,6 von 5","Mimski","Farbe: Anthrazit | Konfiguration: Echo Dot","B084DWG2VQ","https://www.amazon.de/der-neue-echo-dot-4-generation-smarter-lautsprecher-mit-alexa-anthrazit/product-reviews/B084DWG2VQ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4,0 von 5 Sternen","Rezension aus Deutschland vom 23. Oktober 2020","Rezension aus Deutschland vom 23. Oktober 2020","Echo Dots habe ich in den bisher vorhandenen Generationen bei mir. Insbesondere für die Menschen, die bereits über einen alten Echo Dot verfügen stellt sich die Frage: Brauche ich das neue Modell? Gut, dass ich so ein Technik-Freak bin und den neuen Dot bereits vorbestellt habe. Zuerst spoiler ich, was mir gefällt am Echo Dot 4 und was nicht. Danach kommt die ausführliche Bewertung. + Die Optik ist noch mal schöner als bei den alten, flachen Flundern + Der Klang verteilt sich durch das neue Design besser im Raum + Die Verarbeitungsqualität ist ziemlich gut + Durch neue Technik kann der neue Echo Dot jetzt als Bluetooth-Repeater fungieren O An sich bietet das neue Modell keine wirklich neue Funktionen O Der Preis ist höher als bei den alten Modellen - Der neue Echo Dot kann nicht mehr hingehangen werden. - Statt per USB muss der Echo Dot jetzt per Beiliegendem Netzteil betrieben werden. Jetzt mal in ausführlich… Optik und Haptik Man merkt dem Echo Dot 4 an, dass erden Kinderschuhen entwachsen ist. Die Verarbeitung ist sehr hochwertig und kann meiner Ansicht auch mit Marken wie etwa Sonos mithalten. Wenn man das bedenkt, ist der Preis okay. Wer allerdings die zweite Generation zu Hause hat, der hat bereit einen gut verarbeiteten Echo Dot. Qualitativ sind die Unterschiede zwischen Generation 1 und 4 natürlich am größten. Mir gefällt die dreidimensionalere Optik des neuen Modells übrigens besser als die der Vorgänger. Funktionalität Der grundlegende Funktionsumfang ist bei allen Modellen gleich. Also von der Software her. Das neuste Modell ist in allem etwas schneller als die alten Generationen. Ich habe zwar keine Stoppuhr angemacht, aber wer wirklich drauf achtet, kann das feststellen. Mir reicht aber auch das Tempo des ersten Modells aus. Der eigentliche Unterschied spielt sich unter der Haube ab. Der neue Echo Dot 4 verfügt über Bluetooth Low Energy und wird so zum Repeater für andere Bluetooth-Geräte. Wer also zu Hause Probleme mit der Reichweite einiger Bluetooth-Geräte hat, für den ist ein Upgrade interessant. Klang Durch die neue Form wird das Klangbild bei mir zu Hause besser. Im Vergleich zur 3. Generation ist es zwar kein Quantensprung, aber doch spürbar. Wobei ich finde, dass der Echo Dot 4 nach wie vor sehr basslastig ist. Ich habe bis jetzt kein Weg gefunden, wie ich die Höhen und Tiefen beeinflussen kann. Wenn das geht, wäre ich über einen Kommentar sehr dankbar. Für wen lohnt sich das Upgrade? Wer wie ich immer das neuste Modell braucht, für den stellt sich die Frage gar nicht. Alle anderen sollten überlegen, ob sie einen Echo Dot brauchen, der nur stehen und nicht an der Wand montiert werden kann. (Ja: 4. Generation) Man sollte überlegen, ob man den besseren Ton braucht. (Ja: 4. Generation oder besser Geld für den Echo 4 ausgeben) Wer weiß, dass er mehr Bluetooth-Reichweite benötigt, der sollte auf jeden Fall den Echo Dot 4 kaufen. Ich hoffe, dass meine Gedanken bei der Endscheidung helfen können. Meiner Ansicht nach gibt es vor allem für Besitzer der ersten und zweiten Generation des Echo-Dots eine Kaufempfehlung. Und für Alexa-Neulinge natürlich auch.","","Für wen lohnt er sich? / Kein USB-Betrieb mehr!","1.673","https://www.amazon.de/gp/profile/amzn1.account.AF36TFQIOB6L3HB7MJQUVGDEEPJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.de/product-reviews/B084DWG2VQ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=1&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Amazon","https://www.amazon.de/gp/customer-reviews/R31QKV3TSVEOY0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084DWG2VQ","https://www.amazon.de/dp/B084DWG2VQ/"
